Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR276626,2021-08-12 12:14:02,2021-08-12 12:25:57,324015613,97852715126,324015613,302,29719,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/276/DRR276626/DRR276626.lite.1,DRX266210,,WGS,RANDOM PCR,GENOMIC,PAIRED,626,0,ILLUMINA,Illumina NovaSeq 6000,DRP007598,PRJDB11215,,754326,DRS200614,SAMD00278897,simple,9606,Homo sapiens,SAMD00278897,,,,,,,no,,,,,SAGA_U,DRA011609,,public,17BB83E9B6A6B11AB93E2C99ACD3E43E,C055014A0BBDC6E9C83F8D94BA8715BB
DRR276627,2021-08-12 12:14:02,2021-08-12 12:19:34,329647181,99553448662,329647181,302,30351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/276/DRR276627/DRR276627.lite.1,DRX266211,,WGS,RANDOM PCR,GENOMIC,PAIRED,626,0,ILLUMINA,Illumina NovaSeq 6000,DRP007598,PRJDB11215,,754326,DRS200615,SAMD00278898,simple,9606,Homo sapiens,SAMD00278898,,,,,,,no,,,,,SAGA_U,DRA011609,,public,CEB9A177D2A1D38E1F9228E8B4D827E5,267CD1E3C38AE38A4E0A6B6FCAC95B3C
DRR276628,2021-08-12 12:14:02,2021-08-12 12:26:20,322215176,97308983152,322215176,302,30162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/276/DRR276628/DRR276628.lite.1,DRX266212,,WGS,RANDOM PCR,GENOMIC,PAIRED,626,0,ILLUMINA,Illumina NovaSeq 6000,DRP007598,PRJDB11215,,754326,DRS200616,SAMD00278899,simple,9606,Homo sapiens,SAMD00278899,,,,,,,no,,,,,SAGA_U,DRA011609,,public,FADFA62FF25025024CB2E0E20A120D6C,9D1FDBBA554F2A483D839FA38390F06F
